restaurant_name,menu_name,cloudinary_url
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),Caramel Macchiato,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),Coco Cloudy Smoothies,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),Coco Sunset Smoothies,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),Iced Choco Oreo Milk,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),Smoothie Coconut Cocoa Lava,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),กล้วยนมสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),กาแฟ - ชาเขียว,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),กาแฟ - ชาไทย,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),กาแฟ - สตอเบอรี่,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),คาปูชิโน่,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ชานมไต้หวัน,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ชาเขียวนมสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ชาไทย คาราเมล,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ชาไทยนมสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ช็อคโกแลต,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),นมชมพู,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),นมสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),นมสดน้ำผึ้ง,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),น้ำบลูเลมอนปั่น (ไซรัป),
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),น้ำมะพร้าวสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),น้ำสตอเบอรี่ปั่น (ไซรัป),
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),น้ำส้มคั้นสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),น้ำแอปเปิ้ลปั่น (ไซรัป),
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังปิ้งเนย และ โอริโอ้ครัมเบิ้ล และ ซอส,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังเนย และ นมข้นภูเขาไฟ,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังเนย และ โอริโอ้ และ ซอส,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังเย็นชาไทย,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังเย็นนมกล้วย,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังเย็นนมชมพู,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังเย็นนมสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังเย็นเผือกหอม,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังเย็นโกโก้,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ปังเย็นโอวัลติน,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),มอคค่า,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),มะพร้าวนมสดปั่น,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),มะพร้าวบราวน์ชูก้าปั่น,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ลอดช่องวัดเจษปั่น,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),ลาเต้,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),สตรอว์เบอร์รีสมูทตี้,
